,Word 1,Word 2,Human (mean),NGD
0,love,sex,6.77,0.466296058889253
1,tiger,cat,7.35,0.645174460454065
2,tiger,tiger,10,0.079004276265679
3,book,paper,7.46,0.747640524987961
4,computer,keyboard,7.62,0.522701214458816
5,computer,internet,7.58,0.380174820586196
6,plane,car,5.77,0.742275571012502
7,train,car,6.31,0.411836502186699
8,telephone,communication,7.5,0.746646758915779
9,television,radio,6.77,0.298289577282592
10,media,radio,7.42,0.603416650773172
11,drug,abuse,6.85,0.374345146054479
12,bread,butter,6.19,0.210817380334639
13,cucumber,potato,5.92,0.343780658525458
14,doctor,nurse,7,0.449096226402324
15,professor,doctor,6.62,0.571499095460496
16,student,professor,6.81,0.653731042227008
17,smart,student,4.62,0.48429644758742
18,smart,stupid,5.81,0.699212485326301
19,company,stock,7.08,0.673334966550347
20,stock,market,8.08,0.098982984547343
21,stock,phone,1.62,0.723773202215129
22,stock,CD,1.31,0.768892397342921
23,stock,jaguar,0.92,0.791455885893907
24,stock,egg,1.81,0.807159668885167
25,fertility,egg,6.69,0.585060853264529
26,stock,live,3.73,0.606522759084817
27,stock,life,0.92,0.797004543543749
28,book,library,7.46,0.692519216892995
29,bank,money,8.12,0.408115142144525
30,wood,forest,7.73,0.664605522550406
31,money,cash,9.15,0.335287359326668
32,professor,cucumber,0.31,0.88875899178134
33,king,cabbage,0.23,0.824008647588198
34,king,queen,8.58,0.505888628599198
35,king,rook,5.92,0.838551475793874
36,bishop,rabbi,6.69,0.608073955226709
37,Jerusalem,Israel,8.46,0.343793514499405
38,Jerusalem,Palestinian,7.65,0.491401291450436
39,holy,sex,1.62,0.689180935777654
40,fuck,sex,9.44,0.496744599366862
41,Maradona,football,8.62,0.688830032681904
42,football,soccer,9.03,0.244196369244888
43,football,basketball,6.81,0.331149878808789
44,football,tennis,6.63,0.368629310775055
45,tennis,racket,7.56,0.477927930086733
46,Arafat,peace,6.73,0.764097905393352
47,Arafat,terror,7.65,0.746250580767979
48,Arafat,Jackson,2.5,0.814428637348383
49,law,lawyer,8.38,0.580513705093616
50,movie,star,7.38,0.01058765509659
51,movie,popcorn,6.19,0.696553921650809
52,movie,critic,6.73,-0.039048986109589
53,movie,theater,7.92,-0.221057626968931
54,physics,proton,8.12,0.49914115230085
55,physics,chemistry,7.35,0.388495853689733
56,space,chemistry,4.88,0.971859849763601
57,alcohol,chemistry,5.54,0.4702888079642
58,vodka,gin,8.46,0.088410871444546
59,vodka,brandy,8.13,0.172377689091674
60,drink,car,3.04,0.765463541501071
61,drink,ear,1.31,0.465758073709155
62,drink,mouth,5.96,0.785601411955516
63,drink,eat,6.87,0.486417816359156
64,baby,mother,7.85,0.458250383732212
65,drink,mother,2.65,0.662712887937589
66,car,automobile,8.94,0.70918428970906
67,gem,jewel,8.96,0.594972701051072
68,journey,voyage,9.29,0.720882512489441
